REGION,SURROGATE,SURROGATE CODE,GENERATE,QUALITY ASSURANCE,PG SCRIPT
USA,Population,100,YES,YES,template_polygon_noFF_withWA.csh
USA,Housing,110,NO,NO,template_polygon_noFF_withWA.csh
USA,Residential Heating - Natural Gas,150,NO,NO,template_polygon_noFF_withWA.csh
USA,Residential Heating - Distillate Oil,170,NO,NO,template_polygon_noFF_withWA.csh
USA,Residential Heating - Coal,180,NO,NO,template_polygon_noFF_withWA.csh
USA,Residential Heating - LP Gas,190,NO,NO,template_polygon_noFF_withWA.csh
USA,Extended Idle Locations,205,NO,NO,template_point_withFF_withWA.csh
USA,Total Road AADT,239,NO,NO,template_line_withFF_withWA.csh
USA,Total Road Miles,240,NO,NO,template_line_withFF_noWA.csh
USA,All Restricted AADT,242,NO,NO,template_line_withFF_withWA.csh
USA,All Unrestricted AADT,244,NO,NO,template_line_withFF_withWA.csh
USA,Intercity Bus Terminals,258,NO,NO,template_point_withFF_noWA.csh
USA,Transit Bus Terminals,259,NO,NO,template_point_withFF_noWA.csh
USA,Total Railroad Miles,260,NO,NO,template_line_noFF_noWA_nofips.csh
USA,NTAD Total Railroad Density,261,NO,NO,template_line_withFF_noWA.csh
USA,NTAD Class 1 2 3 Railroad Density,271,NO,NO,template_line_withFF_noWA.csh
USA,NLCD Low Intensity Development,300,NO,NO,template_polygon_withFF_noWA.csh
USA,NLCD Open + Low,304,NO,NO,template_polygon_withFF_noWA.csh
USA,NLCD Low + Med,305,NO,NO,template_polygon_withFF_noWA.csh
USA,NLCD Med + High,306,NO,NO,template_polygon_withFF_noWA.csh
USA,NLCD All Development,307,NO,NO,template_polygon_withFF_noWA.csh
USA,NLCD Low + Med + High,308,NO,NO,template_polygon_withFF_noWA.csh
USA,NLCD Open + Low + Med,309,NO,NO,template_polygon_withFF_noWA.csh
USA,NLCD Total Agriculture,310,NO,NO,template_polygon_withFF_noWA.csh
USA,NLCD Crop Land,319,NO,NO,template_polygon_withFF_noWA.csh
USA,NLCD Forest Land,320,NO,NO,template_polygon_withFF_noWA.csh
USA,NLCD Recreational Land,321,NO,NO,template_polygon_withFF_noWA.csh
USA,NLCD Land,340,NO,NO,template_polygon_withFF_noWA.csh
USA,NLCD Water,350,NO,NO,template_polygon_withFF_noWA.csh
USA,Commercial Land,500,NO,NO,template_polygon_noFF_withWA.csh
USA,Industrial Land,505,NO,NO,template_polygon_noFF_withWA.csh
USA,Education,506,NO,NO,template_polygon_noFF_withWA.csh
USA,Public Schools,508,NO,NO,template_point_noFF_withWA.csh
USA,Commercial plus Industrial,510,NO,NO,template_polygon_noFF_withWA.csh
USA,Residential + Commercial + Industrial + Institutional + Government,535,NO,NO,template_polygon_noFF_withWA.csh
USA,Hospital (COM6),560,NO,NO,template_polygon_noFF_withWA.csh
USA,Refineries and Tank Farms,650,NO,NO,template_point_noFF_noWA.csh    
USA,Spud Count - CBM Wells,670,NO,NO,template_polygon_noFF_withWA.csh
USA,Spud Count - Gas Wells,671,NO,NO,template_polygon_noFF_withWA.csh
USA,Unconventional Well Completion Counts,674,NO,NO,template_polygon_noFF_withWA.csh
USA,Completions at Gas Wells,678,NO,NO,template_polygon_noFF_withWA.csh
USA,Completions at CBM Wells,679,NO,NO,template_polygon_noFF_withWA.csh
USA,Spud Count - Oil Wells,681,NO,NO,template_polygon_noFF_withWA.csh
USA,Produced Water at All Wells,683,NO,NO,template_polygon_noFF_withWA.csh
USA,Completions at Oil Wells,685,NO,NO,template_polygon_noFF_withWA.csh
USA,Feet Drilled at All Wells,687,NO,NO,template_polygon_noFF_withWA.csh
USA,Well Counts -  CBM Wells,691,NO,NO,template_polygon_noFF_withWA.csh
USA,Spud Count - All Wells,692,NO,NO,template_polygon_noFF_withWA.csh
USA,Well Count - All Wells,693,NO,NO,template_polygon_noFF_withWA.csh
USA,Oil Production at Oil Wells,694,NO,NO,template_polygon_noFF_withWA.csh
USA,Well Count - Oil Wells,695,NO,NO,template_polygon_noFF_withWA.csh
USA,Gas Production at Gas Wells,696,NO,NO,template_polygon_noFF_withWA.csh
USA,Well Count - Gas Wells,698,NO,NO,template_polygon_noFF_withWA.csh
USA,Gas Production at CBM Wells,699,NO,NO,template_polygon_noFF_withWA.csh
USA,Airport Areas,711,NO,NO,template_polygon_noFF_withWA.csh
USA,Port Areas,801,NO,NO,template_polygon_noFF_withWA.csh
USA,Offshore Shipping Area,805,NO,NO,template_polygon_noFF_withWA.csh
USA,Offshore Shipping NEI2014 Activity,806,NO,NO,template_polygon_noFF_withWA.csh
USA,Navigable Waterway Miles,807,NO,NO,template_line_noFF_noWA_nofips.csh
USA,2013 Shipping Density,808,NO,NO,template_polygon_noFF_withWA.csh
USA,Ports NEI2014 Activity,820,NO,NO,template_polygon_noFF_withWA.csh
USA,Golf Courses,850,NO,NO,template_point_noFF_noWA.csh
USA,Mines,860,NO,NO,template_point_withFF_noWA.csh
